Linkki,Nimi,Lajittelu,,Note,Vuosi,Sesonki,extags,syntags,annoksia,reseptitiedosto
https://www.k-ruoka.fi/reseptit/tomaattinen-palak-paneer,Tomaattinen palak paneer,Pääruoka,,"Hyvä, mifulle hyvä käyttö",2019,,riisi,,,testi123.yml
https://www.hs.fi/ruoka/art-2000006482947.html,Tortellinipanzanella,Pääruoka,Alkuruoka,"Myös hyvä lounas! Paljon pilkkomista ja monta vaihetta, lopputulos kuitenkin hyvä",2019,,pasta,,,testi123.yml
https://www.k-ruoka.fi/reseptit/alkoholiton-tyrni-sour,Tyrni Sour (Alkoholiton),Juoma,,,2019,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/vadelma-nektariinipiirakka,Vadelma-nektariinipiirakka,jälkiruoka,Kahvi,,2021,,,,,testi123.yml
https://yhteishyva.fi/reseptit/vadelmajuustokakku-paahdetulla-valkosuklaalla/recipe-23628,Vadelmajuustokakku,Kahvi,Jälkiruoka,,???,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/vadelmapiirakka,Vadelmapiirakka,Jälkiruoka,,,2021,,,,,testi123.yml
https://www.hs.fi/ruoka/art-2000006482947.html,Vadelmaposset,Jälkiruoka,Kahvi,Helppo + nopee,2019,,,,,testi123.yml
https://viimeistamuruamyoten.com/sitrusrisotto-v-gf/,vegaaninen sitrusrisotto,pääruoka,,,2021,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/vegaaniset-letut-nyhtokaurataytteella,Vegaaniset letut nyhtökauratäytteellä,Pääruoka,,,???,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/vihrea-gazpacho-keitto,Vihreä Gazpacho,Alkuruoka,,,???,,,,,testi123.yml
https://yhteishyva.fi/reseptit/vihrea-kuula-unelmatorttu/sWdqr0OsLMbZtKUN9OuGg,Vihreäkuulakääretorttu,Kahvi,Jälkiruoka,,2022,,,,,testi123.yml
https://www.bbcgoodfood.com/recipes/goats-cheese-garlic-linguine-crisp-pancetta?utm_source=app,Vuohenjuusto pancetta pasta,Pääruoka,Alkuruoka,,2021,,pasta,,,testi123.yml
https://www.k-ruoka.fi/reseptit/wasabi-lohijuustokakku,Wasabi-lohijuustokakku,Snack,Kahvi,,???,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/persimon-kanapata,Persimon kanapata,Pääruoka,,,2023,,"kana, uuni",,,testi123.yml
https://www.k-ruoka.fi/reseptit/lime-kookoskana,Lime-kookoskana,Pääruoka,,,2023,,kana,,,testi123.yml
https://www.k-ruoka.fi/reseptit/mustapapupata,mustapapupata,pääruoka,,,2022,,riisi,,,testi123.yml
,makaronilaatikko,pääruoka,,,,,,,,testi123.yml
,lasagne,pääruoka,,,,,,,,testi123.yml
,tacot,pääruoka,,,,,,,,testi123.yml
,esp. tortilla,pääruoka,,,,,,,,testi123.yml
,pinaattikeitto,pääruoka,,,,,,,,testi123.yml
,"sosekeitto, pun",pääruoka,,,,,,,,testi123.yml
,"sosekeitto, vihr",pääruoka,,,,,,,,testi123.yml
,"sosekeitto, pink",Pääruoka,,,,,,,,testi123.yml
https://www.alko.fi/juoma-ruoka/reseptit/veriappelsiinirisotto,Veriappelsiinirisotto,Pääruoka,,,2023,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/teeleivat,Teeleivät,Lisuke,,,2023,,,,,testi123.yml
,Bolognese,Pääruoka,,,,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/tortellinipannu,Tortellinipannu,Pääruoka,,,2023,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/valkosipulipasta,Valkosipulipasta,Pääruoka,,,2023,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/hummuspasta,Hummuspasta,Pääruoka,,,2023,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/valkosipuli-chilipasta,valkosipuli-chilipasta,Pääruoka,,,2023,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/punajuuri-vuohenjuustopasta,Punajuuri-vuohenjuustopasta,Pääruoka,,,2023,,,,,testi123.yml
https://www.alko.fi/juoma-ruoka/reseptit/kasvis-paneerpelti,Kasvis-paneerpelti,Pääruoka,,,2023,,,,,testi123.yml
https://www.alko.fi/juoma-ruoka/reseptit/nyhtotofu,Nyhtötofu,Pääruoka,,,2023,,,,,testi123.yml
https://www.alko.fi/juoma-ruoka/reseptit/marokkolainen-kasvistagine,Marokkolainen kasvistagine,Pääruoka,,,2023,,,,,testi123.yml
https://www.alko.fi/juoma-ruoka/resepti/kesakurpitsa-halloumipihvit,Kesäkurpitsa-halloumipihvit,Pääruoka,,,2023,,,,,testi123.yml
